Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Dew Point Units,DHI Units,DNI Units,GHI Units,Temperature Units,Pressure Units,Wind Direction Units,Wind Speed Units,Surface Albedo Units,Version
NSRDB,560212,-,-,-,43.17,-102.1,-7,1066,-7,c,w/m2,w/m2,w/m2,c,mbar,Degrees,m/s,N/A,3.2.0
Year,Month,Day,Hour,Minute,Temperature,GHI
2003,1,1,0,30,-3,0
2003,1,1,1,30,-3,0
2003,1,1,2,30,-3,0
2003,1,1,3,30,-3,0
2003,1,1,4,30,-3,0
2003,1,1,5,30,-3,0
2003,1,1,6,30,-3,0
2003,1,1,7,30,-2,0
2003,1,1,8,30,0,107
2003,1,1,9,30,0,192
2003,1,1,10,30,0,141
2003,1,1,11,30,1,171
2003,1,1,12,30,2,249
2003,1,1,13,30,3,242
2003,1,1,14,30,2,231
2003,1,1,15,30,0,58
2003,1,1,16,30,0,0
2003,1,1,17,30,-1,0
2003,1,1,18,30,-1,0
2003,1,1,19,30,-2,0
2003,1,1,20,30,-3,0
2003,1,1,21,30,-4,0
2003,1,1,22,30,-4,0
2003,1,1,23,30,-4,0
2003,1,2,0,30,-4,0
2003,1,2,1,30,-4,0
2003,1,2,2,30,-4,0
2003,1,2,3,30,-4,0
2003,1,2,4,30,-3,0
2003,1,2,5,30,-2,0
2003,1,2,6,30,-2,0
2003,1,2,7,30,-1,0
2003,1,2,8,30,0,139
2003,1,2,9,30,1,273
2003,1,2,10,30,3,372
2003,1,2,11,30,4,420
2003,1,2,12,30,5,412
2003,1,2,13,30,5,349
2003,1,2,14,30,3,239
2003,1,2,15,30,1,101
2003,1,2,16,30,0,0
2003,1,2,17,30,0,0
2003,1,2,18,30,0,0
2003,1,2,19,30,0,0
2003,1,2,20,30,0,0
2003,1,2,21,30,0,0
2003,1,2,22,30,0,0
2003,1,2,23,30,0,0
2003,1,3,0,30,0,0
2003,1,3,1,30,0,0
2003,1,3,2,30,0,0
2003,1,3,3,30,0,0
2003,1,3,4,30,0,0
2003,1,3,5,30,0,0
2003,1,3,6,30,0,0
2003,1,3,7,30,0,0
2003,1,3,8,30,1,138
2003,1,3,9,30,4,271
2003,1,3,10,30,6,368
2003,1,3,11,30,8,417
2003,1,3,12,30,9,410
2003,1,3,13,30,8,330
2003,1,3,14,30,5,165
2003,1,3,15,30,3,53
2003,1,3,16,30,1,0
2003,1,3,17,30,1,0
2003,1,3,18,30,1,0
2003,1,3,19,30,2,0
2003,1,3,20,30,2,0
2003,1,3,21,30,1,0
2003,1,3,22,30,1,0
2003,1,3,23,30,1,0
2003,1,4,0,30,1,0
2003,1,4,1,30,0,0
2003,1,4,2,30,0,0
2003,1,4,3,30,0,0
2003,1,4,4,30,0,0
2003,1,4,5,30,0,0
2003,1,4,6,30,0,0
2003,1,4,7,30,0,0
2003,1,4,8,30,2,80
2003,1,4,9,30,3,202
2003,1,4,10,30,4,364
2003,1,4,11,30,5,414
2003,1,4,12,30,6,302
2003,1,4,13,30,6,351
2003,1,4,14,30,4,245
2003,1,4,15,30,1,106
2003,1,4,16,30,0,0
2003,1,4,17,30,0,0
2003,1,4,18,30,0,0
2003,1,4,19,30,1,0
2003,1,4,20,30,0,0
2003,1,4,21,30,0,0
2003,1,4,22,30,-1,0
2003,1,4,23,30,-2,0
2003,1,5,0,30,-1,0
2003,1,5,1,30,-1,0
2003,1,5,2,30,0,0
2003,1,5,3,30,0,0
2003,1,5,4,30,0,0
2003,1,5,5,30,0,0
2003,1,5,6,30,0,0
2003,1,5,7,30,0,0
2003,1,5,8,30,0,88
2003,1,5,9,30,1,87
2003,1,5,10,30,2,308
2003,1,5,11,30,3,420
2003,1,5,12,30,4,308
2003,1,5,13,30,4,299
2003,1,5,14,30,2,144
2003,1,5,15,30,0,63
2003,1,5,16,30,-1,0
2003,1,5,17,30,-2,0
2003,1,5,18,30,-2,0
2003,1,5,19,30,-2,0
2003,1,5,20,30,-2,0
2003,1,5,21,30,-2,0
2003,1,5,22,30,-2,0
2003,1,5,23,30,-2,0
2003,1,6,0,30,-2,0
2003,1,6,1,30,-1,0
2003,1,6,2,30,-1,0
2003,1,6,3,30,-1,0
2003,1,6,4,30,-1,0
2003,1,6,5,30,-1,0
2003,1,6,6,30,-1,0
2003,1,6,7,30,0,0
2003,1,6,8,30,0,66
2003,1,6,9,30,2,263
2003,1,6,10,30,4,361
2003,1,6,11,30,5,410
2003,1,6,12,30,6,406
2003,1,6,13,30,6,349
2003,1,6,14,30,4,243
2003,1,6,15,30,1,107
2003,1,6,16,30,0,0
2003,1,6,17,30,0,0
2003,1,6,18,30,0,0
2003,1,6,19,30,0,0
2003,1,6,20,30,0,0
2003,1,6,21,30,0,0
2003,1,6,22,30,0,0
2003,1,6,23,30,0,0
2003,1,7,0,30,0,0
2003,1,7,1,30,-1,0
2003,1,7,2,30,-1,0
2003,1,7,3,30,-1,0
2003,1,7,4,30,-1,0
2003,1,7,5,30,-1,0
2003,1,7,6,30,0,0
2003,1,7,7,30,0,0
2003,1,7,8,30,2,85
2003,1,7,9,30,4,202
2003,1,7,10,30,7,302
2003,1,7,11,30,9,432
2003,1,7,12,30,10,428
2003,1,7,13,30,10,273
2003,1,7,14,30,7,259
2003,1,7,15,30,4,117
2003,1,7,16,30,3,0
2003,1,7,17,30,3,0
